wavelength,m_bar
5.2800000000000007e-07,0.95262200000000008
5.2900000000000004e-07,0.95749799999999996
5.3000000000000001e-07,0.96196199999999998
5.3100000000000008e-07,0.96608000000000016
5.3200000000000005e-07,0.96996600000000011
5.3300000000000002e-07,0.97374300000000003
5.3399999999999999e-07,0.97753900000000005
5.3500000000000007e-07,0.98148100000000016
5.3600000000000004e-07,0.98562899999999998
5.37e-07,0.98975400000000002
5.3800000000000008e-07,0.99355099999999985
5.3900000000000005e-07,0.99671399999999988
5.4000000000000002e-07,0.99893100000000001
5.4099999999999999e-07,0.999942
5.4200000000000006e-07,0.99969199999999991
5.4300000000000003e-07,0.99817799999999979
5.44e-07,0.99540499999999998
5.4500000000000008e-07,0.99138300000000013
5.4600000000000005e-07,0.98619900000000005
