wavelength,z_bar
7.28e-07,-1.91022644922e-86
7.29e-07,-6.03229405016e-87
7.3e-07,-1.25672792712e-88
7.31e-07,2.51345585423e-88
7.32e-07,4.71272972669e-89
7.33e-07,2.16000112473e-89
7.34e-07,-2.94545607918e-90
7.35e-07,-1.22727336632e-90
7.36e-07,1.84091004949e-91
7.37e-07,9.97159610139e-92
7.38e-07,-1.91761463488e-93
7.39e-07,2.87642195232e-93
7.4e-07,-4.55433475784e-93
7.41e-07,-2.996272867e-94
7.42e-07,5.99254573401e-95
7.43e-07,-7.49068216751e-96
7.44e-07,0.0
7.45e-07,-1.17041908867e-96
7.46e-07,8.19293362071e-97
7.47e-07,2.04823340518e-97
7.48e-07,-1.09726789563e-98
7.49e-07,-1.28014587824e-98
7.5e-07,-3.20036469559e-99
7.51e-07,8.00091173898e-100
7.52e-07,-1.14298739128e-100
7.53e-07,-5.00056983686e-101
7.54e-07,-4.10761093742e-101
7.55e-07,0.0
7.56e-07,-3.3485958729e-103
7.57e-07,-5.30194346542e-103
7.58e-07,-5.5809931215e-104
7.59e-07,1.39524828037e-104
7.6e-07,6.10421122664e-105
7.61e-07,2.83409806951e-105
7.62e-07,5.99520745473e-106
7.63e-07,-2.45258486784e-106
7.64e-07,1.0219103616e-107
7.65e-07,-6.81273574401e-108
7.66e-07,-2.12897992e-109
7.67e-07,-2.12897992e-109
7.68e-07,-1.197551205e-109
7.69e-07,0.0
7.7e-07,4.98979668751e-111
7.71e-07,-2.91071473438e-111
7.72e-07,0.0
7.73e-07,-1.81919670899e-112
7.74e-07,-1.1045122876e-112
7.75e-07,-2.59885244141e-113
7.76e-07,-4.06070693971e-114
7.77e-07,5.07588367463e-115
7.78e-07,1.01517673493e-115
7.79e-07,2.53794183732e-116
7.8e-07,3.17242729664e-117
7.81e-07,-3.96553412081e-117
7.82e-07,-4.75864094497e-117
7.83e-07,2.9741505906e-118
7.84e-07,4.46122588591e-118
7.85e-07,9.91383530201e-119
7.86e-07,-6.19614706376e-120
7.87e-07,-5.42162868079e-120
7.88e-07,0.0
7.89e-07,-4.84073989356e-122
7.9e-07,-4.84073989356e-122
7.91e-07,-6.05092486695e-123
7.92e-07,-8.69820449624e-123
7.93e-07,-1.60727691778e-123
7.94e-07,2.36364252615e-125
7.95e-07,0.0
7.96e-07,-3.54546378923e-125
7.97e-07,-5.90910631538e-126
7.98e-07,1.10795743413e-126
7.99e-07,-1.38494679267e-127
8e-07,-4.61648930889e-128
8.01e-07,-6.34767279973e-128
8.02e-07,-7.21326454515e-130
8.03e-07,3.60663227257e-130
8.04e-07,3.60663227257e-130
8.05e-07,1.9160233948e-130
8.06e-07,-1.97237702406e-131
8.07e-07,-7.04420365737e-133
8.08e-07,1.40884073147e-132
8.09e-07,1.76105091434e-133
8.1e-07,4.40262728586e-134
8.11e-07,-1.6509852322e-134
8.12e-07,5.50328410732e-135
8.13e-07,5.15932885061e-135
8.14e-07,-1.71977628354e-136
8.15e-07,1.5048042481e-136
8.16e-07,1.07486017721e-137
8.17e-07,4.83687079745e-137
8.18e-07,1.00768141614e-138
8.19e-07,-1.5115221242e-138
8.2e-07,-4.19867256723e-139
8.21e-07,0.0
8.22e-07,-5.24834070904e-141
8.23e-07,5.24834070904e-141
8.24e-07,2.78818100168e-141
8.25e-07,9.43061221155e-142
8.26e-07,1.02506654473e-142
8.27e-07,-1.02506654473e-143
8.28e-07,3.0751996342e-143
8.29e-07,1.02506654473e-143
8.3e-07,0.0
