wavelength,y_bar
7.43e-07,0.0001992884
7.44e-07,0.0001850475
7.45e-07,0.0001719
7.46e-07,0.0001597781
7.47e-07,0.0001486044
7.48e-07,0.0001383016
7.49e-07,0.0001287925
7.5e-07,0.00012
7.51e-07,0.0001118595
7.52e-07,0.0001043224
7.53e-07,9.73356e-05
7.54e-07,9.084587e-05
7.55e-07,8.48e-05
7.56e-07,7.914667e-05
7.57e-07,7.3858e-05
7.58e-07,6.8916e-05
7.59e-07,6.430267e-05
7.6e-07,6e-05
7.61e-07,5.598187e-05
7.62e-07,5.22256e-05
7.63e-07,4.87184e-05
7.64e-07,4.544747e-05
7.65e-07,4.24e-05
7.66e-07,3.956104e-05
7.67e-07,3.691512e-05
7.68e-07,3.444868e-05
7.69e-07,3.214816e-05
7.7e-07,3e-05
7.71e-07,2.799125e-05
7.72e-07,2.611356e-05
7.73e-07,2.436024e-05
7.74e-07,2.272461e-05
7.75e-07,2.12e-05
7.76e-07,1.977855e-05
7.77e-07,1.845285e-05
7.78e-07,1.721687e-05
7.79e-07,1.606459e-05
7.8e-07,1.499e-05
7.81e-07,1.398728e-05
7.82e-07,1.305155e-05
7.83e-07,1.217818e-05
7.84e-07,1.136254e-05
7.85e-07,1.06e-05
7.86e-07,9.885877e-06
7.87e-07,9.217304e-06
7.88e-07,8.592362e-06
7.89e-07,8.009133e-06
7.9e-07,7.4657e-06
7.91e-07,6.959567e-06
7.92e-07,6.487995e-06
7.93e-07,6.048699e-06
7.94e-07,5.639396e-06
7.95e-07,5.2578e-06
7.96e-07,4.901771e-06
7.97e-07,4.56972e-06
7.98e-07,4.260194e-06
7.99e-07,3.971739e-06
8e-07,3.7029e-06
8.01e-07,3.452163e-06
8.02e-07,3.218302e-06
8.03e-07,3.0003e-06
8.04e-07,2.797139e-06
8.05e-07,2.6078e-06
8.06e-07,2.43122e-06
8.07e-07,2.266531e-06
8.08e-07,2.113013e-06
8.09e-07,1.969943e-06
8.1e-07,1.8366e-06
8.11e-07,1.71223e-06
8.12e-07,1.596228e-06
8.13e-07,1.48809e-06
8.14e-07,1.387314e-06
8.15e-07,1.2934e-06
8.16e-07,1.20582e-06
8.17e-07,1.124143e-06
8.18e-07,1.048009e-06
8.19e-07,9.77058e-07
8.2e-07,9.1093e-07
8.21e-07,8.49251e-07
8.22e-07,7.91721e-07
8.23e-07,7.3809e-07
8.24e-07,6.8811e-07
8.25e-07,6.4153e-07
8.26e-07,5.9809e-07
8.27e-07,5.57575e-07
8.28e-07,5.19808e-07
8.29e-07,4.84612e-07
8.3e-07,4.5181e-07
